'LeanVMBMinCore.ByteSerialization.byteAt_shiftOutByte' depends on axioms: [propext, Quot.sound]
'LeanVMBMinCore.ByteSerialization.byteAt_shiftInByte_top' depends on axioms: [propext, Quot.sound]
'LeanVMBMinCore.ByteSerialization.byteAt_shiftInByte_lt' depends on axioms: [propext, Quot.sound]
'LeanVMBMinCore.ByteSerialization.eq_of_byteAt_eq' depends on axioms: [propext, Quot.sound]
'LeanVMBMinCore.ByteSerialization.emitBytes_length' depends on axioms: [propext]
'LeanVMBMinCore.ByteSerialization.getElem_emitBytes' depends on axioms: [propext, Quot.sound]
'LeanVMBMinCore.ByteSerialization.byteAt_loadBytes_of_lt' depends on axioms: [propext, Quot.sound]
'LeanVMBMinCore.ByteSerialization.byteAt_loadBytes' depends on axioms: [propext, Quot.sound]
'LeanVMBMinCore.ByteSerialization.byteAt_loadBytes_beats' depends on axioms: [propext, Quot.sound]
'LeanVMBMinCore.ByteSerialization.loadBytes_length_eq_beats_independent' depends on axioms: [propext, Quot.sound]
'LeanVMBMinCore.ByteSerialization.serialize_loadBytes' depends on axioms: [propext, Quot.sound]
'LeanVMBMinCore.ByteSerialization.loadBytes_serialize' depends on axioms: [propext, Quot.sound]
'LeanVMBMinCore.ByteSerialization.deserialize_serialize' depends on axioms: [propext, Quot.sound]
'LeanVMBMinCore.ByteSerialization.serialize_deserialize' depends on axioms: [propext, Quot.sound]
